Favorite,Seed_Favorite,Underdog,Seed_Underdog,Round,Mean,Median,aw,bb,bb2,bspn,ddd,ddd2,ddg,experts,gq,kake,kake2,log,maria,maria2,ml,raaa,tpp,tra,wts
Kansas St,3,Montana St,14,1,0.7473114967427344,0.801982,0.886810509,0.831148942236175,0.560707031766566,0.902429719,0.392388716,0.8,0.787625092,0.801982,0.5630461467,0.907672214,0.907672214,0.7806076381515662,0.817071,0.795926,0.7811876582576466,0.828505237,0.058552379,0.845585941,0.95
Xavier,3,Kennesaw,14,1,0.8210162022594466,0.853059541,0.890296375,0.617168231205406,0.764779826522482,0.855272451,0.505255937,0.8,0.853059541,0.8709089999999999,0.8062485629,0.913895466,0.913895466,0.8257707405491612,0.711859,0.7869269999999999,0.8635208007524355,0.884268715,0.999582368,0.786598362,0.95
Connecticut,4,Iona,13,1,0.7443003406348053,0.786988863,0.897135655,0.455085149907148,0.637787708007807,0.721324872,0.455060995,0.8,0.804983691,0.819607,0.450686832,0.889687203,0.889687203,0.6697008607915392,0.5791,0.758051,0.7618663763548059,0.814953063,1,0.786988863,0.95
Indiana,4,Kent,13,1,0.5983932664454196,0.646236746,0.646236746,0.683835339173084,0.713722783761584,0.753630243,0.222146705,0.624877106,0.52033928,0.679528,0.5788011667,0.722418997,0.722418997,0.5463341685141989,0.60743,0.628182,0.6525244023141044,0.683659094,0.004029834,0.551823407,0.827533793
Tennessee,4,Louisiana,13,1,0.8090127381631875,0.8124850468632433,0.952914496,0.480935898282311,0.450014182654445,0.955919415,0.704752124,0.8,0.903815664,0.841,0.7914153548,0.969561582,0.969561582,0.8124850468632433,0.681274,0.668891,0.7886037785005635,0.882579284,0.999758787,0.76775983,0.95
Virginia,4,Furman,13,1,0.6746992771877856,0.7443252093990791,0.811975211,0.538988687249783,0.647747337557204,0.900321391,0.18129061999999996,0.774851785,0.629328423,0.730278,0.5374218902,0.828356486,0.828356486,0.5769363921618593,0.825191,0.767977,0.7443252093990791,0.702040446,0.05082508799999996,0.85858971,0.884485104
Duke,5,Oral Roberts,12,1,0.6791010833307579,0.694817,0.745309787,0.860443459199207,0.654287211491821,0.733327097,0.199116729,0.630616718,0.472818706,0.694817,0.6366936047,0.734934516,0.734934516,0.6687676604928109,0.474482,0.660583,0.6728488064005613,0.745003493,0.998770556,0.764613037,0.820552686
Miami FL,5,Drake,12,1,0.5571025304440201,0.559698000631075,0.5808344919999999,0.559698000631075,0.35757533264990005,0.504290487,0.22183257099999998,0.5386727179999999,0.494747399,0.590949,0.3115274482,0.5551330809999999,0.5551330809999999,0.6823253467210488,0.700833,0.676975,0.6344240942343593,0.539504384,0.583871787,0.797299948,0.699320908
San Diego St,5,Col Charleston,12,1,0.6824653137561765,0.706441,0.692433312,0.390614007802081,0.5812308021264789,0.760301347,0.18391280799999998,0.625111544,0.530227138,0.706441,0.5108962746,0.759933822,0.759933822,0.7260689691499832,0.807963,0.759841,0.6726832426888094,0.681575278,0.999957,0.867716594,0.95
St Mary's CA,5,VCU,12,1,0.6661735417252702,0.67854,0.786317099,0.517746542239827,0.502213985530012,0.680115683,0.456794336,0.672430815,0.743480708,0.67854,0.5856084276,0.768904967,0.768904967,0.4264314990489955,0.471918,0.659232,0.6992848003612995,0.772973119,0.999689046,0.602445642,0.864265656
Creighton,6,NC State,11,1,0.6179366394038768,0.622307179,0.67295749,0.313254029552788,0.560977467205776,0.663868439,0.526043281,0.512276551,0.622307179,0.665463,0.644481768,0.72118946,0.72118946,0.612959545922882,0.507317,0.556521,0.5838532909922127,0.669249631,0.942686739,0.426892424,0.817308393
Iowa St,6,Pittsburgh,11,1,0.6921912744575187,0.656741,0.809960418,0.772547136233532,0.536999741318671,0.738612693,0.442423216,0.62467568,0.634928847,0.656741,0.6525719935,0.80297087,0.80297087,0.5655149784262565,0.563554,0.603984,0.5416950472143967,0.770206695,0.999997186,0.800970437,0.830309406
Kentucky,6,Providence,11,1,0.623866118833184,0.604876995,0.595953819,0.854416627556572,0.801661296182449,0.61652927,0.464867739,0.524455537,0.568759565,0.618564,0.5966230446,0.609207309,0.609207309,0.4840262454291537,0.507167,0.567879,0.4881637430623218,0.688079492,0.99203927,0.604876995,0.660978996
TCU,6,Arizona St,11,1,0.6078402051232984,0.6517505809999999,0.6517505809999999,0.317708649606515,0.602697629974059,0.5585759969999999,0.645875467,0.669900688,0.7246043609999999,0.667454,0.43086913159999995,0.707794901,0.707794901,0.6780495909568942,0.42773399999999995,0.506721,0.7825461932052009,0.656220381,0.57126226,0.5115875400000001,0.729816625
Michigan St,7,USC,10,1,0.5959737162009465,0.70712,0.845111491,0.399443595247847,0.418760435471822,0.871848123,0.235835978,0.491336952,0.712254531,0.530846,0.7668830404,0.843534392,0.843534392,0.2659036462162385,0.70712,0.77046,0.49629072748207537,0.520206894,1.83e-5,0.863854721,0.740257389
Missouri,7,Utah St,10,1,0.44899314167915544,0.41397742494077944,0.325702944,0.361216058080212,0.353061265461689,0.439575032,0.309690616,0.528457889,0.313790301,0.42118,0.300332716,0.336419418,0.336419418,0.5475491464212725,0.743559,0.45472,0.41397742494077944,0.440567837,0.914697137,0.690205159,0.29974833
Northwestern,7,Boise St,10,1,0.5376077105887009,0.5047200000000001,0.479382697,0.535012851397057,0.535012851397057,0.818691431,0.30847013999999995,0.524975704,0.40136069900000004,0.5047200000000001,0.5320186250000001,0.49416726499999997,0.49416726499999997,0.4480873512485314,0.585044,0.470703,0.578758360142672,0.480591518,0.9469691650000001,0.648143174,0.42827040400000005
Texas A&M,7,Penn St,10,1,0.5641722193787151,0.62665222,0.662553873,0.7567149551815691,0.41597293141563296,0.418643898,0.651779208,0.5798660529999999,0.669597827,0.604012,0.31932186139999996,0.647597215,0.647597215,0.769692222784496,0.39737100000000003,0.5968169999999999,0.7741936384138899,0.499303379,0.0025663929999999446,0.679019278,0.62665222
Arkansas,8,Illinois,9,1,0.5221671735488881,0.547006323,0.558883246,0.433315650126485,0.623451472204026,0.605805182,0.518335817,0.525970821,0.514782176,0.536337,0.5880747101,0.547006323,0.547006323,0.5355103912920538,0.587801,0.535032,0.48961075170630836,0.553504942,2.04e-6,0.602377662,0.61836879
Iowa,8,Auburn,9,1,0.4493650832580395,0.442193649,0.359612131,0.7161976233361911,0.588400730245242,0.525380995,0.476994602,0.442193649,0.480505387,0.48116000000000003,0.5219234342,0.39390202900000004,0.39390202900000004,0.32674791011150006,0.43080700000000005,0.44681899999999997,0.5970908680098171,0.44084429199999997,0.13492559999999998,0.36906734399999996,0.41146195799999996
Maryland,8,West Virginia,9,1,0.49045163269888487,0.482765653,0.428348604,0.237649776208201,0.311600375457746,0.482765653,0.501742794,0.506078279,0.53665696,0.465833,0.6208392655,0.484489456,0.484489456,0.3535214285749018,0.479812,0.470967,0.4154899425379637,0.596201884,0.999963502,0.524586004,0.417545641
Memphis,8,FL Atlantic,9,1,0.5603610707472877,0.5203718913888997,0.5796917189999999,0.751314632071181,0.4855929891173,0.595174149,0.31324855399999996,0.469844653,0.335384601,0.538475,0.38401996709999997,0.517562604,0.517562604,0.7358227295210863,0.666676,0.518447,0.5203718913888997,0.5867439,0.9999151,0.51912537,0.611886881
Alabama,1,Maryland,8,2,0.7555647311954393,0.797053,0.841154992,0.911627288249886,0.753451886197594,0.712697629,0.86867627,0.8,0.878848402,0.74396,0.8116109714,0.830747447,0.830747447,0.7413432265736077,0.718968,0.797053,0.7212035992922593,0.721579442,0.016796064,0.796513949,0.858750279
Kansas,1,Arkansas,8,2,0.6828037197431934,0.671763341,0.603211144,0.6975465777458121,0.33365100462752195,0.746400571,0.517292596,0.633976502,0.671763341,0.6310640000000001,0.6848519165,0.612230404,0.612230404,0.7427661965801842,0.82215799999999994,0.79445,0.6683309966671573,0.552103451,0.986541201,0.916490738,0.746211631
Houston,1,Auburn,9,2,0.7931687817350048,0.8,0.813419017,0.9151691004870723,0.650266080868367,0.5781345520000001,0.904096571,0.8,0.937408968,0.790851,0.700036988,0.84982901,0.84982901,0.785209584529327,0.5402100000000001,0.705371,0.9077836336203251,0.778716987,0.99999999846,0.7133735290000001,0.850501823
Marquette,2,Michigan St,7,2,0.6208980775184433,0.644297,0.631382188,0.352596820509182,0.394115824823468,0.486261526,0.860017705,0.691683521,0.801267194,0.644297,0.530593734,0.631750175,0.631750175,0.7043523524243546,0.796475,0.654038,0.7385890430934186,0.635110745,0.119248392,0.818361763,0.675172314
UCLA,2,Northwestern,7,2,0.7776029933288832,0.782745692,0.826548274,0.5250209399615671,0.721647285481693,0.530688345,0.868578378,0.693591007,0.897377131,0.74187,0.7265502952,0.843162363,0.843162363,0.8645219318775859,0.638633,0.739387,0.8062807567279331,0.782745692,0.994393938,0.780298173,0.95
Texas,2,Penn St,10,2,0.7654972486344607,0.8,0.890071829,0.643910583108013,0.486038130552333,0.676212594,0.788007315,0.8,0.8560645410000001,0.7527550000000001,0.45701933819999996,0.847121325,0.847121325,0.853111264805537,0.680966,0.716596,0.8258055243888687,0.738722,0.998808677,0.827371038,0.858745239
Baylor,3,Creighton,6,2,0.4860867464937008,0.498965,0.443904153,0.619428686595617,0.541763466990636,0.402619228,0.333362876,0.548854301,0.501084089,0.498965,0.4249498726,0.454478881,0.454478881,0.5390884976889031,0.656521,0.614365,0.4451093605051593,0.48029359,9.24e-6,0.769070534,0.507301526
Gonzaga,3,TCU,6,2,0.645998482556596,0.6607,0.534017368,0.534834475867495,0.407218492575592,0.289032029,0.748944498,0.639720525,0.817744424,0.6607,0.6694047351,0.592985962,0.592985962,0.5903906706202269,0.605309,0.707818,0.6802907094120104,0.70050071,0.999963123,0.760192629,0.741917855
Kansas St,3,Kentucky,6,2,0.5019754232741928,0.551854584,0.61281797,0.36684728603296,0.243820589013917,0.623552995,0.576035003,0.551854584,0.546044178,0.467711,0.3963669635,0.594221288,0.594221288,0.4184181970927108,0.777623,0.626317,0.4387148865700743,0.532434515,0.001744554,0.61163118,0.557156565
Xavier,3,Pittsburgh,11,2,0.6631291901955035,0.699010175,0.759566987,0.31033534528680895,0.48462684701108505,0.699010175,0.638149589,0.621972749,0.7320317940000001,0.6873400000000001,0.650178974,0.729452325,0.729452325,0.5932802027314314,0.621235,0.712186,0.7354720246852418,0.7991980160000001,0.482843488,0.759778686,0.853344086
Connecticut,4,St Mary's CA,5,2,0.5713983664823553,0.597732942,0.66413809,0.462155766064086,0.627898765724971,0.607930329,0.60497315,0.517618724,0.597732942,0.578128,0.3545299462,0.599788434,0.599788434,0.6769812687125321,0.420214,0.461352,0.5351315634631618,0.592890723,0.999999223,0.313417522,0.641900082
Indiana,4,Miami FL,5,2,0.556451418217378,0.548645,0.651319892,0.631597794642483,0.759839084496111,0.684939366,0.517994557,0.528926514,0.519885339,0.548645,0.6615027114,0.66637951,0.66637951,0.49076981769492123,0.502938,0.479905,0.4753451248966669,0.613121723,0.146653127,0.374079584,0.652355291
Tennessee,4,Duke,5,2,0.6511835697043236,0.678074801,0.771465541,0.425534748722765,0.5447367928111759,0.789882015,0.711001553,0.579607679,0.730816278,0.6101989999999999,0.37683309909999996,0.810219307,0.810219307,0.705714633808991,0.487035,0.450407,0.6461496039392152,0.678074801,0.994163718,0.502141715,0.748286032
San Diego St,5,Furman,13,2,0.7715265292162553,0.7811413853552821,0.866181608,0.617530606673264,0.63003337612168,0.774107849,0.291161185,0.773156442,0.720144934,0.774026,0.6040148325,0.878343224,0.878343224,0.7811413853552821,0.822875,0.84166,0.7510021624586241,0.781655581,0.998335248,0.925291397,0.95
Missouri,7,Princeton,15,2,0.7591538432101178,0.747374524,0.719741757,0.663854299829745,0.651862923593745,0.781117759,0.517071214,0.754882617,0.694381816,0.739732,0.9176746624,0.747374524,0.747374524,0.8657789241612309,0.946951,0.787511,0.6986897950075167,0.752525471,0.596183033,0.94800475,0.893210951
FL Atlantic,9,F Dickinson,16,2,0.9313814869777064,0.960909,0.980427036,0.9395455436381402,0.825431058329238,0.906153062,0.8477077470000001,0.6649965520000001,0.987173208,0.960909,0.91489176739,0.988595809,0.988595809,0.9614409012480577,0.945863,0.965541,0.9240787289709864,0.968041141,0.991180076,0.985676813,0.95
