Favorite,Seed_Favorite,Underdog,Seed_Underdog,Round,Mean,Median,experts,ddd,bspn,wts,tra,aw,ml,ddg,kake,log,bb,gq,kake2,tpp,ddd2,maria,raaa,bb2,maria2
Ohio St,3,James Madison,14,1,0.8968134696990095,0.966354,0.937487,1,0.991102503,0.9999,0.965862236,0.97962781,0.9841424171123038,0.923945788,0.989719452,0.945455498514531,0.9525509910121737,0.97279625463,0.995744729,0.524911606,8.742720000000093e-4,0.966354,0.990076376,0.9525509910121737,0.966354
Tennessee,4,St Louis,13,1,0.8880308109972078,0.9747927442809637,0.962791,0.8,0.991049304,0.9999,0.969993141,0.990341524,0.9886113375468708,0.900922066,0.985015544,0.9614516769181499,0.9747927442809637,0.98780915192,0.996204824,0.445873184,9.999999717180685e-10,0.987436,0.968165166,0.9747927442809637,0.987436
Texas,4,East Carolina,13,1,0.8797546935822854,0.972151906,0.947368,0.8,0.988293564,0.9999,0.969889465,0.983349322,0.97745563192024,0.919497864,0.973509773,0.9630386971325835,0.9784815031603,0.98213280169,0.992963307,0.460912419,5.934210000000384e-4,0.91366,0.972151906,0.9784815031603,0.91366
UCLA,4,CS Sacramento,13,1,0.8519936640574788,0.9203473612299999,0.911511,0.8,0.859700663,0.879322497,0.912727344,0.900698867,0.9670529278023401,0.868798168,0.978119414,0.9341282542455771,0.9324706904070903,0.9203473612299999,0.992123213,0.511435505,1.4894099999995802e-4,0.94424,0.998344081,0.9324706904070903,0.94424
Villanova,4,Cleveland St,13,1,0.8282306784594196,0.900003188,0.88669,0.8,0.9293581870000001,0.900003188,0.768759165,0.957127581,0.9710653151810673,0.787100883,0.967752005,0.861166217781552,0.866570127778176,0.96531851021,0.9964912,0.373460869,0,0.937802,0.963345514,0.866570127778176,0.937802
Iowa St,5,Toledo,12,1,0.8431069922732592,0.8362,0.8362,0.657645615,0.941814492,0.804655568,0.884461584,0.939500514,0.7406646643402689,0.819720204,0.972819216,0.8914979282158788,0.806837736717889,0.9318852562,0.955539008,0.487011173,0.996617492,0.781853,0.981618665,0.806837736717889,0.781853
Louisville,5,Drake,12,1,0.7670113055951533,0.862222,0.725668,0.5529715909999999,0.698758938,0.831500624,0.6926294230000001,0.8359180390000001,0.9649713167627167,0.740238783,0.894603578,0.8773708953072392,0.9076706905189782,0.8875415982,0.949114574,0.414981143,2.8402800000004724e-4,0.862222,0.966876894,0.9076706905189782,0.862222
Oklahoma,5,Portland,12,1,0.8325357791927218,0.848679306,0.79372,0.8,0.871824754,0.876329349,0.890846015,0.739886938,0.9412220108897984,0.848679306,0.869873416,0.8010456960065618,0.748163922882677,0.744890431,0.841357869,0.604593026,0.997946694,0.866259,0.967118454,0.748163922882677,0.866259
Washington St,5,FL Gulf Coast,12,1,0.6875214025349464,0.693814604883919,0.607591,0.6022930209999999,0.464479686,0.739934857,0.306033949,0.655327066,0.6093607730175621,0.557948679,0.913406479,0.6968980989185812,0.693814604883919,0.7543002061999999,0.921923384,0.426950505,0.99999999326,0.7494970000000001,0.919835741,0.693814604883919,0.7494970000000001
Colorado,6,MTSU,11,1,0.6864853475632029,0.6714309131,0.589854,0.637276658,0.623702397,0.691158292,0.447707915,0.64836908,0.8773380316697578,0.592047712,0.821389212,0.7083755537770063,0.690005711077046,0.6714309131,0.717900551,0.473980775,1,0.64333,0.876019091,0.690005711077046,0.64333
Creighton,6,Mississippi St,11,1,0.6549994055572659,0.675185891,0.6746,0.601421296,0.675185891,0.815836497,0.497119782,0.723990203,0.8792263280285011,0.617669947,0.674902698,0.6893558827103603,0.703775750074595,0.5456544827,0.979373851,0.42768269799999997,1.79e-19,0.822091,0.591235649,0.703775750074595,0.822091
Michigan,6,UNLV,11,1,0.7242838816317209,0.742466780858203,0.727072,0.65397623,0.826542683,0.671438855,0.617415105,0.80759443,0.8420586595555587,0.658884023,0.902192266,0.8238894167307322,0.742466780858203,0.767952181,0.73541768,0.484824163,1,0.472806,0.811590497,0.742466780858203,0.472806
North Carolina,6,St John's,11,1,0.7825851967666724,0.7741817243405203,0.746974,0.675348772,0.797432657,0.734615984,0.817601023,0.720734019,0.7741817243405203,0.766340203,0.849240939,0.8876052889641974,0.791972930581029,0.9732112201,0.745157162,0.577474626,0.99991013,0.627835,0.963675129,0.791972930581029,0.627835
Arizona,7,West Virginia,10,1,0.709854811538966,0.746819339,0.712911,0.698940942,0.871289993,0.746819339,0.834822848,0.847629167,0.7201461498844369,0.73104226,0.806757305,0.6688720565148413,0.643271985020538,0.8481169858,0.846163501,0.488580736,5.36e-6,0.810195,0.758209806,0.643271985020538,0.810195
Baylor,7,Alabama,10,1,0.569426555454183,0.547904113,0.5601419999999999,0.544953003,0.48519033300000003,0.644346573,0.633787742,0.447706555,0.48562860793929274,0.661249191,0.616352765,0.6629868008810805,0.18637876050455204,0.46829858179999995,0.771373802,0.547904113,0.99999109,0.511676,0.893083875,0.18637876050455204,0.511676
Florida St,7,Georgia,10,1,0.593805203229048,0.607876763,0.57859,0.639206816,0.704810407,0.732203281,0.780680088,0.531859402,0.6053447649912683,0.728370136,0.607876763,0.4717162554982486,0.48074053363110897,0.5330138976,0.75018945,0.592398121,1.77e-13,0.642602,0.779354412,0.48074053363110897,0.642602
NC State,7,Princeton,10,1,0.7748375473941156,0.789562949001567,0.684601,0.537703411,0.860433243,0.61019929,0.877896322,0.786462319,0.6606151348405683,0.789233611,0.918975509,0.789607626944494,0.789562949001567,0.8544845307,0.953476825,0.52392272,0.999988015,0.660761,0.973665945,0.789562949001567,0.660761
Mississippi,8,Gonzaga,9,1,0.5413724119791884,0.562276921042702,0.5950139999999999,0.5516317239999999,0.5536731500000001,0.455503032,0.582812558,0.603944152,0.753508526081754,0.545066611,0.751232413,0.6802924432374219,0.562276921042702,0.5642478531999999,0.31669243999999996,0.517916076,0.03314043600000005,0.399497,0.857852571,0.562276921042702,0.399497
Oklahoma St,8,Miami FL,9,1,0.5396525668920071,0.570940035,0.531521,0.521024464,0.659695599,0.6051522899999999,0.642932522,0.570940035,0.6553678560947891,0.606741815,0.550344819,0.4514419357045011,0.526135158924423,0.5812522213,0.453971024,0.510917265,0,0.638212,0.583401607,0.526135158924423,0.638212
South Florida,8,Marquette,9,1,0.5345555451481713,0.570561764,0.516732,0.609603106,0.655714449,0.6622998440000001,0.6119627320000001,0.570561764,0.595141213521541,0.588521333,0.38599942099999995,0.47092604540875527,0.489756433453979,0.44328562569999996,0.06711965099999995,0.5061369419999999,0.999999999277,0.635931,0.22117636500000004,0.489756433453979,0.635931
USC,8,S Dakota St,9,1,0.5690873311951083,0.5136001638823491,0.476305,0.502830881,0.34510979100000005,0.40512635900000005,0.261682309,0.6276640419999999,0.5151196450895337,0.350887588,0.825157975,0.5136001638823491,0.414226394317588,0.8745684091,0.7247835469999999,0.40824722599999996,0.985677016,0.666093,0.835260552,0.414226394317588,0.666093
